Gender,ageRange,shelterType,propYes,propNo,countYes,countNo,yearPIT,yearPageInPIT,pageInPIT
male,child,unsheltered,0.02543720191,0.9745627981,48,1839,15,15,24
male,child,emergencyShelter,0.06995412844,0.9300458716,61,811,15,15,24
male,child,transitionalHousing,0.08253358925,0.9174664107,86,956,15,15,24
male,adult,unsheltered,0.6364599894,0.3635400106,1201,686,15,15,24
male,adult,emergencyShelter,0.5,0.5,436,436,15,15,24
male,adult,transitionalHousing,0.5479846449,0.4520153551,571,471,15,15,24
female,child,unsheltered,0.01483836778,0.9851616322,28,1859,15,15,24
female,child,emergencyShelter,0.08027522936,0.9197247706,70,802,15,15,24
female,child,transitionalHousing,0.07581573896,0.924184261,79,963,15,15,24
female,adult,unsheltered,0.2999470058,0.7000529942,566,1321,15,15,24
female,adult,emergencyShelter,0.3383027523,0.6616972477,295,577,15,15,24
female,adult,transitionalHousing,0.2879078695,0.7120921305,300,742,15,15,24
trans,child,unsheltered,0,1,0,1887,15,15,24
trans,child,emergencyShelter,0,1,0,872,15,15,24
trans,child,transitionalHousing,0,1,0,1042,15,15,24
trans,adult,unsheltered,0.005829358771,0.9941706412,11,1876,15,15,24
trans,adult,emergencyShelter,0.005733944954,0.994266055,5,867,15,15,24
trans,adult,transitionalHousing,0.003838771593,0.9961612284,4,1038,15,15,24
unknownOtherZ,child,unsheltered,0.002119766826,0.9978802332,4,1883,15,15,24
unknownOtherZ,child,emergencyShelter,0,1,0,872,15,15,24
unknownOtherZ,child,transitionalHousing,0,1,0,1042,15,15,24
unknownOtherZ,adult,unsheltered,0.01536830949,0.9846316905,29,1858,15,15,24
unknownOtherZ,adult,emergencyShelter,0.005733944954,0.994266055,5,867,15,15,24
unknownOtherZ,adult,transitionalHousing,0.001919385797,0.9980806142,2,1040,15,15,24
unknown,child,unsheltered,0.03852242744,0.9614775726,73,1822,13,13,24
unknown,child,emergencyShelter,0.2197125257,0.7802874743,214,760,13,13,24
unknown,child,transitionalHousing,0.2938931298,0.7061068702,462,1110,13,13,24
male,all,unsheltered,0.7039577836,0.2960422164,1334,561,13,13,25
male,all,emergencyShelter,0.5410677618,0.4589322382,527,447,13,13,25
male,all,transitionalHousing,0.5375318066,0.4624681934,845,727,13,13,25
female,all,unsheltered,0.2802110818,0.7197889182,531,1364,13,13,25
female,all,emergencyShelter,0.4383983573,0.5616016427,427,547,13,13,25
female,all,transitionalHousing,0.4567430025,0.5432569975,718,854,13,13,25
trans,all,unsheltered,0.00580474934,0.9941952507,11,1884,13,13,25
trans,all,emergencyShelter,0.008213552361,0.9917864476,8,966,13,13,25
trans,all,transitionalHousing,0.003816793893,0.9961832061,6,1566,13,13,25
unknownOtherZ,all,unsheltered,0.01002638522,0.9899736148,19,1876,13,13,25
unknownOtherZ,all,emergencyShelter,0.01232032854,0.9876796715,12,962,13,13,25
unknownOtherZ,all,transitionalHousing,0.001908396947,0.9980916031,3,1569,13,13,25
unknown,child,unsheltered,0.03725261932,0.9627473807,64,1654,11,11,24
unknown,child,emergencyShelter,0.1506442022,0.8493557978,152,857,11,11,24
unknown,child,transitionalHousing,0.2899377593,0.7100622407,559,1369,11,11,24
male,all,unsheltered,0.7339930151,0.2660069849,1261,457,11,11,24
male,all,emergencyShelter,0.6313181368,0.3686818632,637,372,11,11,24
male,all,transitionalHousing,0.5145228216,0.4854771784,992,936,11,11,24
female,all,unsheltered,0.2456344587,0.7543655413,422,1296,11,11,24
female,all,emergencyShelter,0.3617443013,0.6382556987,365,644,11,11,24
female,all,transitionalHousing,0.4802904564,0.5197095436,926,1002,11,11,24
trans,all,unsheltered,0.002910360885,0.9970896391,5,1713,11,11,24
trans,all,emergencyShelter,0,1,0,1009,11,11,24
trans,all,transitionalHousing,0,1,0,1928,11,11,24
unknownOtherZ,all,unsheltered,0.01746216531,0.9825378347,30,1688,11,11,24
unknownOtherZ,all,emergencyShelter,0.006937561943,0.9930624381,7,1002,11,11,24
unknownOtherZ,all,transitionalHousing,0.005186721992,0.994813278,10,1918,11,11,24
male,all,unsheltered,0.72,0.28,1146,445,9,9,11
male,all,emergencyShelter,0,1,0,1591,9,9,11
male,all,transitionalHousing,0,1,0,1591,9,9,11
female,all,unsheltered,0.26,0.74,414,1177,9,9,11
female,all,emergencyShelter,0,1,0,1591,9,9,11
female,all,transitionalHousing,0,1,0,1591,9,9,11
trans,all,unsheltered,0.0018,0.9982,3,1588,9,9,11
trans,all,emergencyShelter,0,1,0,1591,9,9,11
trans,all,transitionalHousing,0,1,0,1591,9,9,11
unknownOtherZ,all,unsheltered,0.0182,0.9818,29,1562,9,9,11
unknownOtherZ,all,emergencyShelter,0,1,0,1591,9,9,11
unknownOtherZ,all,transitionalHousing,0,1,0,1591,9,9,11